code,complexity
"def knapsack_recursive(weights, values, W, n):
    if n == 0 or W == 0:
        return 0
    if weights[n-1] > W:
        return knapsack_recursive(weights, values, W, n-1)
    else:
        return max(knapsack_recursive(weights, values, W, n-1),
                   values[n-1] + knapsack_recursive(weights, values, W-weights[n-1], n-1)) ",O(2^n)
"def factorial_recursive(n):
    if n == 0:
        return 1
    return n * factorial_recursive(n-1) ",O(n)
"def factorial_iterative(n):
    result = 1
    for i in range(1, n+1):
        result *= i
    return result ",O(n)
"def exponentiation_by_squaring(x, n):
    if n == 0:
        return 1
    elif n % 2 == 0:
        return exponentiation_by_squaring(x*x, n//2)
    else:
        return x * exponentiation_by_squaring(x*x, (n-1)//2) ",O(logn)
"def recursive_sum(n):
    if n == 0:
        return 0
    return n + recursive_sum(n-1) ",O(n)
"def sum_of_digits(n):
    if n == 0:
        return 0
    return n % 10 + sum_of_digits(n // 10) ",O(n)
"def flatten_list(nested_list):
    flat = []
    for item in nested_list:
        if isinstance(item, list):
            flat.extend(flatten_list(item))
        else:
            flat.append(item)
    return flat ",O(n)
"def fib_iterative(n):
    a, b = 0, 1
    for _ in range(n):
        a, b = b, a+b
    return a ",O(n)
"def fib_memo(n, memo={}):
    if n in memo:
        return memo[n]
    if n <= 1:
        return n
    memo[n] = fib_memo(n-1, memo) + fib_memo(n-2, memo)
    return memo[n] ",O(n)
"def tree_depth(root):
    if not root:
        return 0
    return 1 + max(tree_depth(root.left), tree_depth(root.right)) ",O(n)
"def inorder_traversal(root):
    if root is None:
        return []
    return inorder_traversal(root.left) + [root.val] + inorder_traversal(root.right) ",O(n)
"def preorder_traversal(root):
    if root is None:
        return []
    return [root.val] + preorder_traversal(root.left) + preorder_traversal(root.right) ",O(n)
"def postorder_traversal(root):
    if root is None:
        return []
    return postorder_traversal(root.left) + postorder_traversal(root.right) + [root.val] ",O(n)
"def level_order_traversal(root):
    from collections import deque
    if not root:
        return []
    result = []
    queue = deque([root])
    while queue:
        node = queue.popleft()
        result.append(node.val)
        if node.left:
            queue.append(node.left)
        if node.right:
            queue.append(node.right)
    return result ",O(n)
"def heapify(arr, n, i):
    largest = i
    l = 2*i + 1
    r = 2*i + 2
    if l < n and arr[l] > arr[largest]:
        largest = l
    if r < n and arr[r] > arr[largest]:
        largest = r
    if largest != i:
        arr[i], arr[largest] = arr[largest], arr[i]
        heapify(arr, n, largest) ",O(logn)
"def build_heap(arr):
    n = len(arr)
    for i in range(n//2 - 1, -1, -1):
        heapify(arr, n, i)
    return arr ",O(n)
"def count_inversions(arr):
    def merge_count(arr):
        if len(arr) <= 1:
            return arr, 0
        mid = len(arr)//2
        left, inv_left = merge_count(arr[:mid])
        right, inv_right = merge_count(arr[mid:])
        merged = []
        i = j = inv_count = 0
        while i < len(left) and j < len(right):
            if left[i] <= right[j]:
                merged.append(left[i])
                i += 1
            else:
                merged.append(right[j])
                inv_count += len(left) - i
                j += 1
        merged += left[i:]
        merged += right[j:]
        return merged, inv_left + inv_right + inv_count
    _, inversions = merge_count(arr)
    return inversions ",O(nlogn)
"def find_median(arr):
    arr.sort()
    mid = len(arr) // 2
    if len(arr) % 2 == 0:
        return (arr[mid-1] + arr[mid]) / 2
    else:
        return arr[mid] ",O(nlogn)
"def tree_insert_bst(root, key):
    if root is None:
        return TreeNode(key)
    if key < root.val:
        root.left = tree_insert_bst(root.left, key)
    else:
        root.right = tree_insert_bst(root.right, key)
    return root ",O(logn)
"def avl_insert(root, key):
    # Simplified version; actual implementation includes rotations.
    if root is None:
        return TreeNode(key)
    if key < root.val:
        root.left = avl_insert(root.left, key)
    else:
        root.right = avl_insert(root.right, key)
    return root ",O(logn)
"def rb_tree_insert(root, key):
    # Simplified; red-black trees require balancing.
    if root is None:
        return TreeNode(key)
    if key < root.val:
        root.left = rb_tree_insert(root.left, key)
    else:
        root.right = rb_tree_insert(root.right, key)
    return root ",O(logn)
"def btree_search(root, key):
    i = 0
    while i < len(root.keys) and key > root.keys[i]:
        i += 1
    if i < len(root.keys) and key == root.keys[i]:
        return root
    if root.leaf:
        return None
    return btree_search(root.children[i], key) ",O(logn)
"def btree_insert(root, key):
    # Simplified insertion in a B-tree.
    if root is None:
        return BTreeNode([key])
    # Insertion logic would involve finding the correct child and splitting if necessary.
    return root ",O(logn)
"def merge_two_sorted_lists(l1, l2):
    dummy = ListNode(0)
    current = dummy
    while l1 and l2:
        if l1.val < l2.val:
            current.next = l1
            l1 = l1.next
        else:
            current.next = l2
            l2 = l2.next
        current = current.next
    current.next = l1 or l2
    return dummy.next ",O(n)
"def reverse_linked_list(head):
    prev = None
    current = head
    while current:
        nxt = current.next
        current.next = prev
        prev = current
        current = nxt
    return prev ",O(n)
"def detect_cycle(head):
    slow = fast = head
    while fast and fast.next:
        slow = slow.next
        fast = fast.next.next
        if slow == fast:
            return True
    return False ",O(n)
"def find_middle(head):
    slow = fast = head
    while fast and fast.next:
        slow = slow.next
        fast = fast.next.next
    return slow ",O(n)
"def kth_from_end(head, k):
    fast = slow = head
    for _ in range(k):
        fast = fast.next
    while fast:
        fast = fast.next
        slow = slow.next
    return slow ",O(n)
"def quickselect(arr, k):
    if len(arr) == 1:
        return arr[0]
    pivot = arr[len(arr) // 2]
    lows = [el for el in arr if el < pivot]
    highs = [el for el in arr if el > pivot]
    pivots = [el for el in arr if el == pivot]
    if k < len(lows):
        return quickselect(lows, k)
    elif k < len(lows) + len(pivots):
        return pivots[0]
    else:
        return quickselect(highs, k - len(lows) - len(pivots)) ",O(n)
"def backtracking_subsets(arr):
    result = []
    def backtrack(start, curr):
        result.append(list(curr))
        for i in range(start, len(arr)):
            curr.append(arr[i])
            backtrack(i+1, curr)
            curr.pop()
    backtrack(0, [])
    return result ",O(2^n)
"def backtracking_combinations(arr, k):
    result = []
    def backtrack(start, curr):
        if len(curr) == k:
            result.append(list(curr))
            return
        for i in range(start, len(arr)):
            curr.append(arr[i])
            backtrack(i+1, curr)
            curr.pop()
    backtrack(0, [])
    return result ",O(2^n)
"def bitmask_combinations(arr):
    n = len(arr)
    result = []
    for mask in range(1 << n):
        subset = [arr[i] for i in range(n) if mask & (1 << i)]
        result.append(subset)
    return result ",O(2^n)
"def coin_change(coins, amount):
    dp = [float('inf')] * (amount + 1)
    dp[0] = 0
    for coin in coins:
        for x in range(coin, amount+1):
            dp[x] = min(dp[x], dp[x-coin] + 1)
    return dp[amount] if dp[amount] != float('inf') else -1 ",O(n*m)
"def longest_increasing_subsequence(arr):
    n = len(arr)
    lis = [1] * n
    for i in range(1, n):
        for j in range(i):
            if arr[i] > arr[j] and lis[i] < lis[j] + 1:
                lis[i] = lis[j] + 1
    return max(lis) ",O(n^2)
"def longest_common_substring(s1, s2):
    m, n = len(s1), len(s2)
    dp = [[0]*(n+1) for _ in range(m+1)]
    result = 0
    for i in range(1, m+1):
        for j in range(1, n+1):
            if s1[i-1] == s2[j-1]:
                dp[i][j] = dp[i-1][j-1] + 1
                result = max(result, dp[i][j])
            else:
                dp[i][j] = 0
    return result ",O(n*m)
"def matrix_chain_order(p):
    n = len(p) - 1
    m = [[0]*n for _ in range(n)]
    for l in range(2, n+1):
        for i in range(n - l + 1):
            j = i + l - 1
            m[i][j] = float('inf')
            for k in range(i, j):
                q = m[i][k] + m[k+1][j] + p[i]*p[k+1]*p[j+1]
                m[i][j] = min(m[i][j], q)
    return m[0][n-1] ",O(n^3)
"def optimal_bst(keys, freq):
    n = len(keys)
    cost = [[0]*n for _ in range(n)]
    for i in range(n):
        cost[i][i] = freq[i]
    for L in range(2, n+1):
        for i in range(n-L+1):
            j = i + L - 1
            cost[i][j] = float('inf')
            for r in range(i, j+1):
                c = (cost[i][r-1] if r > i else 0) + (cost[r+1][j] if r < j else 0) + sum(freq[i:j+1])
                cost[i][j] = min(cost[i][j], c)
    return cost[0][n-1] ",O(n^3)
"def find_peak(arr):
    low, high = 0, len(arr)-1
    while low < high:
        mid = (low+high)//2
        if arr[mid] < arr[mid+1]:
            low = mid + 1
        else:
            high = mid
    return arr[low] ",O(logn)
"def merge_intervals(intervals):
    intervals.sort(key=lambda x: x[0])
    merged = []
    for interval in intervals:
        if not merged or merged[-1][1] < interval[0]:
            merged.append(interval)
        else:
            merged[-1][1] = max(merged[-1][1], interval[1])
    return merged ",O(nlogn)
"def sliding_window_max(nums, k):
    from collections import deque
    dq = deque()
    result = []
    for i, num in enumerate(nums):
        while dq and nums[dq[-1]] < num:
            dq.pop()
        dq.append(i)
        if dq[0] == i - k:
            dq.popleft()
        if i >= k - 1:
            result.append(nums[dq[0]])
    return result ",O(n)
"def longest_unique_substring(s):
    char_index = {}
    left = 0
    max_length = 0
    for right, char in enumerate(s):
        if char in char_index and char_index[char] >= left:
            left = char_index[char] + 1
        char_index[char] = right
        max_length = max(max_length, right - left + 1)
    return max_length ",O(n)
"def climb_stairs(n):
    if n <= 1:
        return 1
    dp = [0]*(n+1)
    dp[0], dp[1] = 1, 1
    for i in range(2, n+1):
        dp[i] = dp[i-1] + dp[i-2]
    return dp[n] ",O(n)
"def flood_fill(image, sr, sc, newColor):
    original = image[sr][sc]
    if original == newColor:
        return image
    rows, cols = len(image), len(image[0])
    def dfs(r, c):
        if r < 0 or c < 0 or r >= rows or c >= cols or image[r][c] != original:
            return
        image[r][c] = newColor
        dfs(r+1, c)
        dfs(r-1, c)
        dfs(r, c+1)
        dfs(r, c-1)
    dfs(sr, sc)
    return image ",O(n*m)
"def word_ladder(beginWord, endWord, wordList):
    from collections import deque
    wordSet = set(wordList)
    queue = deque([(beginWord, 1)])
    while queue:
        word, steps = queue.popleft()
        if word == endWord:
            return steps
        for i in range(len(word)):
            for c in 'abcdefghijklmnopqrstuvwxyz':
                nextWord = word[:i] + c + word[i+1:]
                if nextWord in wordSet:
                    wordSet.remove(nextWord)
                    queue.append((nextWord, steps+1))
    return 0 ",O(n*m)
"def word_frequency(text):
    words = text.split()
    freq = {}
    for word in words:
        freq[word] = freq.get(word, 0) + 1
    return freq ",O(n)
"def inorder_iterative(root):
    stack, result = [], []
    current = root
    while stack or current:
        if current:
            stack.append(current)
            current = current.left
        else:
            current = stack.pop()
            result.append(current.val)
            current = current.right
    return result ",O(n)
"def preorder_iterative(root):
    if not root:
        return []
    stack, result = [root], []
    while stack:
        node = stack.pop()
        result.append(node.val)
        if node.right:
            stack.append(node.right)
        if node.left:
            stack.append(node.left)
    return result ",O(n)
"def postorder_iterative(root):
    if not root:
        return []
    stack, result = [root], []
    while stack:
        node = stack.pop()
        result.append(node.val)
        if node.left:
            stack.append(node.left)
        if node.right:
            stack.append(node.right)
    return result[::-1] ",O(n)
"def count_nodes(root):
    if not root:
        return 0
    return 1 + count_nodes(root.left) + count_nodes(root.right) ",O(n)
"def all_substrings(s):
    substrings = []
    for i in range(len(s)):
        for j in range(i+1, len(s)+1):
            substrings.append(s[i:j])
    return substrings ",O(n^2)
"def power_set(nums):
    if not nums:
        return [[]]
    rest = power_set(nums[1:])
    return rest + [[nums[0]] + subset for subset in rest] ",O(2^n)
"def gray_code(n):
    if n == 0:
        return [0]
    result = gray_code(n-1)
    add = 1 << (n-1)
    return result + [x + add for x in reversed(result)] ",O(2^n)
"def iterative_permutations(arr):
    result = [[]]
    for num in arr:
        new_result = []
        for perm in result:
            for i in range(len(perm)+1):
                new_result.append(perm[:i] + [num] + perm[i:])
        result = new_result
    return result ",O(n!)
"def spiral_order(matrix):
    result = []
    while matrix:
        result += matrix.pop(0)
        matrix = list(zip(*matrix))[::-1]
    return result ",O(n*m)
"def zigzag_level_order(root):
    if not root:
        return []
    results, level, direction = [], [root], 1
    while level:
        current_vals = [node.val for node in level]
        results.append(current_vals if direction > 0 else current_vals[::-1])
        next_level = []
        for node in level:
            if node.left: next_level.append(node.left)
            if node.right: next_level.append(node.right)
        level = next_level
        direction *= -1
    return results ",O(n)
"def sum_recursive(arr, idx=0):
    if idx == len(arr):
        return 0
    return arr[idx] + sum_recursive(arr, idx+1) ",O(n)
"def z_algorithm(s):
    n = len(s)
    z = [0] * n
    l, r = 0, 0
    for i in range(1, n):
        if i > r:
            l, r = i, i
            while r < n and s[r-l] == s[r]:
                r += 1
            z[i] = r - l
            r -= 1
        else:
            k = i - l
            if z[k] < r - i + 1:
                z[i] = z[k]
            else:
                l = i
                while r < n and s[r-l] == s[r]:
                    r += 1
                z[i] = r - l
                r -= 1
    return z ",O(n)
"def boyer_moore(text, pattern):
    def bad_character_table(pattern):
        table = {}
        for i, char in enumerate(pattern):
            table[char] = i
        return table
    table = bad_character_table(pattern)
    m, n = len(pattern), len(text)
    i = m - 1
    while i < n:
        j = m - 1
        k = i
        while j >= 0 and text[k] == pattern[j]:
            j -= 1
            k -= 1
        if j < 0:
            return k + 1
        shift = m - min(j, table.get(text[i], -1) + 1)
        i += shift
    return -1 ",O(n)
"def balanced_parentheses(s):
    stack = []
    mapping = {')': '(', '}': '{', ']': '['}
    for char in s:
        if char in mapping.values():
            stack.append(char)
        elif char in mapping:
            if not stack or mapping[char] != stack.pop():
                return False
    return not stack ",O(n)
"def evaluate_postfix(expression):
    stack = []
    for token in expression.split():
        if token.isdigit():
            stack.append(int(token))
        else:
            b, a = stack.pop(), stack.pop()
            if token == '+': stack.append(a + b)
            elif token == '-': stack.append(a - b)
            elif token == '*': stack.append(a * b)
            elif token == '/': stack.append(a / b)
    return stack[0] ",O(n)
"def evaluate_prefix(expression):
    tokens = expression.split()[::-1]
    stack = []
    for token in tokens:
        if token.isdigit():
            stack.append(int(token))
        else:
            a, b = stack.pop(), stack.pop()
            if token == '+': stack.append(a + b)
            elif token == '-': stack.append(a - b)
            elif token == '*': stack.append(a * b)
            elif token == '/': stack.append(a / b)
    return stack[0] ",O(n)
"def infix_to_postfix(expression):
    precedence = {'+':1, '-':1, '*':2, '/':2}
    output = []
    stack = []
    for token in expression.split():
        if token.isalnum():
            output.append(token)
        elif token == '(':
            stack.append(token)
        elif token == ')':
            while stack and stack[-1] != '(':
                output.append(stack.pop())
            stack.pop()
        else:
            while stack and stack[-1] != '(' and precedence.get(token,0) <= precedence.get(stack[-1],0):
                output.append(stack.pop())
            stack.append(token)
    while stack:
        output.append(stack.pop())
    return ' '.join(output) ",O(n)
"def lru_cache_get(cache, key):
    return cache.get(key, None) ",O(1)
"def longest_palindrome_dp(s):
    n = len(s)
    dp = [[False]*n for _ in range(n)]
    start, max_len = 0, 1
    for i in range(n):
        dp[i][i] = True
    for i in range(n-1):
        if s[i] == s[i+1]:
            dp[i][i+1] = True
            start, max_len = i, 2
    for length in range(3, n+1):
        for i in range(n-length+1):
            j = i + length - 1
            if s[i] == s[j] and dp[i+1][j-1]:
                dp[i][j] = True
                start, max_len = i, length
    return s[start:start+max_len] ",O(n^2)
"def manacher(s):
    A = '@#' + '#'.join(s) + '#$'
    Z = [0] * len(A)
    center = right = 0
    for i in range(1, len(A)-1):
        if i < right:
            Z[i] = min(right - i, Z[2*center - i])
        while A[i + Z[i] + 1] == A[i - Z[i] - 1]:
            Z[i] += 1
        if i + Z[i] > right:
            center, right = i, i + Z[i]
    return max(Z) ",O(n)
"def count_binary_substrings(s):
    count, prev, curr = 0, 0, 1
    for i in range(1, len(s)):
        if s[i] == s[i-1]:
            curr += 1
        else:
            count += min(prev, curr)
            prev, curr = curr, 1
    count += min(prev, curr)
    return count ",O(n)
"def max_subarray_sum(arr):
    max_current = max_global = arr[0]
    for x in arr[1:]:
        max_current = max(x, max_current + x)
        max_global = max(max_global, max_current)
    return max_global ",O(n)
"def max_product_subarray(arr):
    max_prod = min_prod = result = arr[0]
    for num in arr[1:]:
        choices = (num, max_prod * num, min_prod * num)
        max_prod = max(choices)
        min_prod = min(choices)
        result = max(result, max_prod)
    return result ",O(n)
"def merge_two_sorted_linked_lists(l1, l2):
    if not l1:
        return l2
    if not l2:
        return l1
    if l1.val < l2.val:
        l1.next = merge_two_sorted_linked_lists(l1.next, l2)
        return l1
    else:
        l2.next = merge_two_sorted_linked_lists(l1, l2.next)
        return l2 ",O(n)
"def reverse_string_iterative(s):
    return s[::-1] ",O(n)
"def reverse_string_recursive(s):
    if len(s) <= 1:
        return s
    return reverse_string_recursive(s[1:]) + s[0] ",O(n^2)
"def is_palindrome(s):
    return s == s[::-1] ",O(n)
"def remove_duplicates_sorted(arr):
    if not arr:
        return 0
    j = 0
    for i in range(1, len(arr)):
        if arr[i] != arr[j]:
            j += 1
            arr[j] = arr[i]
    return j + 1 ",O(n)
"def rotate_array(arr, k):
    k %= len(arr)
    return arr[-k:] + arr[:-k] ",O(n)
"def pivot_index(arr):
    total = sum(arr)
    left_sum = 0
    for i, x in enumerate(arr):
        if left_sum == total - left_sum - x:
            return i
        left_sum += x
    return -1 ",O(n)
"def spiral_matrix(n):
    matrix = [[0]*n for _ in range(n)]
    num = 1
    for layer in range((n+1)//2):
        for i in range(layer, n-layer):
            matrix[layer][i] = num
            num += 1
        for i in range(layer+1, n-layer):
            matrix[i][n-layer-1] = num
            num += 1
        for i in range(n-layer-2, layer-1, -1):
            matrix[n-layer-1][i] = num
            num += 1
        for i in range(n-layer-2, layer, -1):
            matrix[i][layer] = num
            num += 1
    return matrix ",O(n^2)
"def generate_pascals_triangle(n):
    triangle = []
    for i in range(n):
        row = [1]*(i+1)
        for j in range(1, i):
            row[j] = triangle[i-1][j-1] + triangle[i-1][j]
        triangle.append(row)
    return triangle ",O(n^2)
"def insert_interval(intervals, new_interval):
    result = []
    i = 0
    while i < len(intervals) and intervals[i][1] < new_interval[0]:
        result.append(intervals[i])
        i += 1
    while i < len(intervals) and intervals[i][0] <= new_interval[1]:
        new_interval[0] = min(new_interval[0], intervals[i][0])
        new_interval[1] = max(new_interval[1], intervals[i][1])
        i += 1
    result.append(new_interval)
    result.extend(intervals[i:])
    return result ",O(n)
"def jump_game(nums):
    max_reach = 0
    for i, x in enumerate(nums):
        if i > max_reach:
            return False
        max_reach = max(max_reach, i+x)
    return True ",O(n)
"def majority_element(nums):
    count, candidate = 0, None
    for num in nums:
        if count == 0:
            candidate = num
        count += (1 if num == candidate else -1)
    return candidate ",O(n)
"def find_duplicate(nums):
    slow = fast = nums[0]
    while True:
        slow = nums[slow]
        fast = nums[nums[fast]]
        if slow == fast:
            break
    slow = nums[0]
    while slow != fast:
        slow = nums[slow]
        fast = nums[fast]
    return slow ",O(n)
"def subarray_sum_equals_k(nums, k):
    count = 0
    cumulative_sum = 0
    sums = {0: 1}
    for num in nums:
        cumulative_sum += num
        if cumulative_sum - k in sums:
            count += sums[cumulative_sum - k]
        sums[cumulative_sum] = sums.get(cumulative_sum, 0) + 1
    return count ",O(n)
"def number_of_islands(grid):
    if not grid: return 0
    count = 0
    rows, cols = len(grid), len(grid[0])
    def dfs(r, c):
        if r < 0 or c < 0 or r >= rows or c >= cols or grid[r][c] != '1':
            return
        grid[r][c] = '0'
        dfs(r+1, c)
        dfs(r-1, c)
        dfs(r, c+1)
        dfs(r, c-1)
    for r in range(rows):
        for c in range(cols):
            if grid[r][c] == '1':
                dfs(r, c)
                count += 1
    return count ",O(n*m)
"def pascal_triangle_row(n):
    row = [1]
    for k in range(1, n+1):
        row.append(row[-1] * (n - k + 1) // k)
    return row ",O(n)
"def merge_sort_iterative(arr):
    width = 1
    n = len(arr)
    while width < n:
        for i in range(0, n, 2*width):
            left = arr[i:i+width]
            right = arr[i+width:i+2*width]
            arr[i:i+2*width] = merge_sorted(left, right)
        width *= 2
    return arr ",O(nlogn)
"def word_count(text):
    counts = {}
    for word in text.split():
        counts[word] = counts.get(word, 0) + 1
    return counts ",O(n)
